Oven1_NMHC,Oven1_NOx,LV1211 S01 PK113_BB40,LV1211 S01 PK110_BN20-2,LV1211 S01 PK110_BN20-1,LV1211 S01 PR114_BV25,LV1211 S02 PR210_BN20,LV1211 S01 PN613_BV25,LV1211 S02 PR310_BN20,LV1211 S02 PR313_BB40-1,LV1211 S01 PN111_BV25,LV1211 S01 PN111_BL50,LV1211 S01 PN212_BV25,LV1211 S01 PN213_BV25,LV1211 S04 VZ503_M1_F,LV1211 S04 VZ503_M1_C,LV1211 S04 VA515_M1_F,LV1211 S04 VA515_M1_C,LV1211 S04 VZ502_M1_F,LV1211 S04 VZ502_M1_C,LV1211 S03 MW300_BV25-1,LA1251 summary AmereMin charge,LV1281 S04 WR706 BV25-1,LV1281 S04 WR706 M1,LV1281 S04 WA506 BB40-1,LV1281 S04 WA506 BU88,LV1281 S04 WA506 BB40-2,LV1281 S04 WA506 BB40-4,LV1281 S04 WA506 BB40-5,LV1281 S03 VA306 M1,LV1281 S09 WU321 M1,LV1281 S09 WU321 BB40,LV1281 S09 WU321 M2,LV1281 S08 WU312 M1,LV1281 S08 WU312 BB40,LV1281 S08 WU312 M2,LV1281 S07 WU311 M1,LV1281 S07 WU311 BB40,LV1281 S07 WU311 M2,LV1281 S06 WU302 M1,LV1281 S06 WU302 BB40,LV1281  S06 WU302 M2,LV1281 S05 WU301 M1,LV1281 S05 WU301 BB40,LV1281 S05 WU301 M2,LV1281 S05 WU301 BB40-1,LV1281 S01 TS100 M1_O,LV1281 S01 TS100 M1_C,LV1281 S02 TK161 M3_O,LV1281 S02 TK161 M3_C,LV1281 VZ366 M1,LV1281 TK161 M1,LV1281 TK161 M2,LV1281 VA307 M1,LV1281 VF330 M1,LV1281 AS361 M1,LV1281 VA307 M3,LV1281 VZ366 BB40,LV1281 VA307 BB42,LV1281 WK363 BB40-1,LV1281 WK363 BB40-2,LV1281 WK363 BV25,LV1281 WK363 M2,LV1281 S01 Energy consumption,LV1281 S02 Energy consumption,LV1281 S03 Energy consumption,LV1281 Emergency Cooling Request,LV1281 Emergency Cooling Finished,LV1281 Production ON,LV1281 Production Release,LF1921 S01 TF270 Actual curent MoviFit,LF1921 S01 TF270 Number of unit,LF1921 S01 TF270 Transport forward,LF1921 S01 TF270 Forward,LF1921 S01 TF270 Home position,LF1921 RB260 Occupied,LF1921 RB260 Transport Forward,LF1921 RB260 Forward,LF1921 RB280 Occupied,LF1921 RB280 Transport Forward,LF1921 RB280 Forward,LF1921 RB290 Occupied,LF1921 RB290 Transport Forward,LF1921 RB290 Forward,LF1921 RB300 Occupied,LF1921 RB300 Transport Forward,LF1921 RB300 Forward,LF1921 RB310 Occupied,LF1921 RB310 Transport Forward,LF1921 RB310 Forward
0,54.216,28.148,98.346,96.332,0.029,98.134,0.009,96.47,42.222,61.135,727.72,161.495,161.024,0,0.003,0,0.017,0,0.017,0,28.135,156104,31.889,709,94.4,166.97,632.986,378.993,87.217,50.387,199.913,35.951,53.784,200.087,13.847,97.103,199.957,98.988,22.635,129.991,75.281,74.455,94.965,7.242,255.382,1,0,1,0,49.408,31.391,36.259,26.772,6.844,9.94,100,22.989,30.599,10.5,21.9,7.574,2.071,619518,202143,705,0,0,1,1,1.876,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.394,28.148,98.372,96.416,0.029,98.105,0.009,96.47,42.245,61.115,727.72,161.277,160.843,0,0.003,0,0.017,0,0.017,0.521,28.135,156106,30.667,712,92,166.97,632.986,379.991,88.007,50.569,199.87,35.963,53.645,200.043,13.859,95.882,200,98.976,22.745,130.078,74.623,74.576,95.009,7.242,255.208,1,0,1,0,49.729,32.271,35.477,26.703,6.815,9.94,100,22.295,30.512,10.4,21.9,0.022,0,619521,202144,705,0,0,1,1,1.604,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.75,28.148,98.397,96.599,0.029,98.119,0.013,96.47,42.269,60.99,723.38,161.024,161.205,0,0.003,0,0.015,0,0.017,0.376,28.135,156107,30.667,712,94.4,166.97,632.986,379.991,87.443,50.396,199.913,37.476,53.094,200,13.859,96.873,199.957,98.988,22.817,129.861,74.623,74.866,95.139,6.063,255.208,1,0,1,0,50.244,31.458,36.218,26.647,6.92,9.94,100,22.888,30.512,10.4,21.9,0.022,0,619524,202144,705,0,0,1,1,1.656,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.623,28.148,98.377,96.416,0.029,98.148,0.009,96.47,42.245,61.146,726.273,161.712,160.88,0,0.003,0,0.017,0,0.017,0.116,28.135,156109,31.889,709,94.4,166.97,632.986,379.991,87.231,50.205,199.913,37.476,53.564,200.087,13.859,97.236,199.783,100,22.814,129.861,76.263,74.516,95.052,6.075,255.035,1,0,1,0,50.032,33.094,35.765,26.672,6.82,9.94,100,22.989,30.382,10.4,21.9,6.706,1.729,619527,202145,705,0,0,1,1,1.916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.682,28.148,98.473,96.723,0.029,98.119,0.009,96.47,42.176,61.062,723.38,161.422,161.241,0,0.003,0,0.015,0,0.017,0.231,28.135,156111,30.333,712,91.2,166.97,632.986,378.993,87.823,50.224,199.957,37.488,53.366,200,13.859,97.078,200,99.293,22.774,129.991,75.689,74.105,95.009,6.087,254.34,1,0,1,0,49.747,32.004,36.588,26.753,6.925,9.94,100,22.309,30.382,10.4,21.9,0,0,619530,202145,705,0,0,1,1,1.948,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.216,28.171,98.463,96.532,0.029,98.148,0.013,96.47,42.176,61.021,724.826,161.314,161.169,0,0.003,0,0.017,0,0.017,0,28.135,156113,31.556,709,94.4,166.97,632.986,378.993,87.936,50.85,200.043,37.488,53.571,200.043,14.122,94.855,199.957,98.024,22.807,130.122,74.491,74.806,95.095,6.1,253.993,1,0,1,0,49.886,32.95,35.909,26.691,6.798,9.94,100,22.844,30.295,10.4,21.9,0.022,0,619533,202145,705,0,0,1,1,2.008,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.682,28.171,98.473,96.615,0.029,98.105,0.013,96.47,42.176,61.052,723.38,161.314,161.205,0,0.003,0,0.017,0,0.017,0,28.135,156115,30.444,712,93.6,166.97,632.986,378.993,87.668,50.632,200.174,33.622,53.791,199.957,13.154,96.233,200,99.28,22.792,129.948,74.491,74.588,95.095,6.124,254.167,1,0,1,0,49.971,31.551,36.665,26.579,6.943,9.94,100,23.105,30.512,10.4,21.9,6.293,1.729,619536,202146,705,0,0,1,1,1.836,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.038,28.194,98.519,96.682,0.029,98.163,0.009,96.484,42.083,61.042,723.38,161.386,161.169,0,0.003,0,0.015,0,0.017,0,28.135,156117,30.333,709,93.6,165.972,632.986,378.993,87.838,50.551,200.087,36.134,53.872,199.957,13.166,96.16,199.87,100,22.817,129.905,75.976,74.286,95.052,5.055,254.514,1,0,1,0,50.22,31.715,34.633,26.747,6.864,9.94,100,22.295,30.208,10.3,21.9,0.022,0,619538,202146,705,0,0,1,1,1.816,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53.919,28.194,98.539,96.332,0.029,98.119,0.009,96.47,42.014,60.969,720.486,161.603,160.988,0,0.003,0,0.017,0,0.015,0,28.135,156119,30.667,712,94.4,166.97,632.986,378.993,88.275,50.205,200.13,36.159,53.468,199.87,13.166,96.245,200.217,97.829,22.887,129.861,76,74.407,94.965,4.872,254.688,1,0,1,0,49.032,33.3,37.128,26.772,6.844,9.94,100,22.786,30.035,10.3,21.9,0,0,619541,202147,705,0,0,1,1,1.892,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203,53.86,28.171,98.584,96.632,0.029,98.119,0.013,96.47,41.968,61.208,720.486,161.458,160.88,0,0.003,0,0.017,0,0.017,0.231,28.135,156121,31.778,709,92,166.97,632.986,378.993,87.485,50.532,200.087,36.171,53.116,199.913,13.166,96.208,199.957,97.866,22.81,130.208,74.731,74.915,94.922,5.601,254.861,1,0,1,0,49.444,31.54,37.005,26.878,6.955,9.94,100,23.148,30.035,10.3,21.9,6.793,2.014,619544,202147,705,0,0,1,1,1.852,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
